dataset,seed,condition,control,nir
Schmidt,1,EOMES,technical_duplicate,1.0
Schmidt,1,FOSL1,technical_duplicate,1.0
Schmidt,1,FOXD2,technical_duplicate,1.0
Schmidt,1,IKZF3,technical_duplicate,1.0
Schmidt,1,INPPL1,technical_duplicate,1.0
Schmidt,1,TRAF3IP2,technical_duplicate,1.0
Schmidt,1,CBY1+EMP3,technical_duplicate,0.5666666666666667
Schmidt,1,EMP3+TRAF3IP2,technical_duplicate,0.7333333333333333
Schmidt,1,CBY1+LCP2,interpolated_duplicate,0.3333333333333333
Schmidt,1,CBY1+PRKD2,interpolated_duplicate,0.43333333333333335
Schmidt,1,CBY1+TRIM21,interpolated_duplicate,0.13333333333333333
Schmidt,1,EMP3+JMJD1C,interpolated_duplicate,0.23333333333333334
Schmidt,1,EMP3+LCP2,interpolated_duplicate,0.2
Schmidt,1,EMP3+MAP4K1,interpolated_duplicate,0.06666666666666667
Schmidt,1,EMP3+PRKD2,interpolated_duplicate,0.5666666666666667
Schmidt,1,EMP3+TBX21,interpolated_duplicate,0.06666666666666667
Schmidt,1,EMP3+TNFRSF1A,interpolated_duplicate,0.36666666666666664
Schmidt,1,EMP3+TNFRSF1B,interpolated_duplicate,0.7333333333333333
Schmidt,1,EMP3+VAV1,interpolated_duplicate,0.0
Schmidt,1,JMJD1C+TRAF3IP2,interpolated_duplicate,0.16666666666666666
Schmidt,1,PRKD2+TRAF3IP2,interpolated_duplicate,0.26666666666666666
Schmidt,1,TNFRSF1A+TRAF3IP2,interpolated_duplicate,0.6333333333333333
Schmidt,1,TNFRSF1B+TRAF3IP2,interpolated_duplicate,0.6
Schmidt,1,TNFRSF12A+TRAF3IP2,interpolated_duplicate,0.1
Schmidt,1,TRAF3IP2+TRIM21,interpolated_duplicate,0.5333333333333333
Schmidt,1,TRAF3IP2+VAV1,interpolated_duplicate,0.4666666666666667
Schmidt,1,MGST3+TRIM21,interpolated_duplicate,0.5666666666666667
Schmidt,1,PRKD2+TNFRSF1B,interpolated_duplicate,0.43333333333333335
Schmidt,1,ABCB10,interpolated_duplicate,1.0
Schmidt,1,CBY1,interpolated_duplicate,1.0
Schmidt,1,EMP3,interpolated_duplicate,1.0
Schmidt,1,EOMES,interpolated_duplicate,1.0
Schmidt,1,FOSL1,interpolated_duplicate,1.0
Schmidt,1,FOXD2,interpolated_duplicate,1.0
Schmidt,1,IKZF3,interpolated_duplicate,1.0
Schmidt,1,INPPL1,interpolated_duplicate,1.0
Schmidt,1,TRAF3IP2,interpolated_duplicate,1.0
Schmidt,1,CBY1+EMP3,interpolated_duplicate,0.6666666666666666
Schmidt,1,EMP3+TRAF3IP2,interpolated_duplicate,0.6
Schmidt,2,ARHGDIB+TNFRSF1A,mean_negative,0.07407407407407407
Schmidt,2,CBY1+EMP3,mean_negative,0.6666666666666666
Schmidt,2,EMP3+LCP2,mean_negative,0.2962962962962963
Schmidt,2,EMP3+MAP4K1,mean_negative,0.1111111111111111
Schmidt,2,EMP3+PRKD2,mean_negative,0.5555555555555556
Schmidt,2,EMP3+TBX21,mean_negative,0.14814814814814814
Schmidt,2,EMP3+TNFRSF1B,mean_negative,0.6296296296296297
Schmidt,2,EMP3+TRAF3IP2,mean_negative,0.48148148148148145
Schmidt,2,EMP3+VAV1,mean_negative,0.0
Schmidt,2,FOXQ1+TNFRSF1A,mean_negative,0.037037037037037035
Schmidt,2,JMJD1C+TNFRSF1B,mean_negative,0.2222222222222222
Schmidt,2,JMJD1C+TRAF3IP2,mean_negative,0.25925925925925924
Schmidt,2,PRKD2+TNFRSF1A,mean_negative,0.5925925925925926
Schmidt,2,TNFRSF1A+TRAF3IP2,mean_negative,0.5185185185185185
Schmidt,2,PRKD2+TRIM21,mean_negative,0.4074074074074074
Schmidt,2,TNFRSF12A+TRAF3IP2,mean_negative,0.18518518518518517
Schmidt,2,TRAF3IP2+VAV1,mean_negative,0.4444444444444444
Schmidt,2,DEPDC7,mean_negative,0.9629629629629629
Schmidt,2,EMP3,mean_negative,1.0
Schmidt,2,FOSL1,mean_negative,0.8148148148148148
Schmidt,2,IKZF3,mean_negative,0.8888888888888888
Schmidt,2,JMJD1C,mean_negative,0.7777777777777778
Schmidt,2,LTBR,mean_negative,0.7037037037037037
Schmidt,2,RELA,mean_negative,0.9259259259259259
Schmidt,2,TNFRSF1A,mean_negative,0.7407407407407407
Schmidt,2,WT1,mean_negative,0.8518518518518519
Schmidt,2,EMP3+JMJD1C,mean_negative,0.37037037037037035
Schmidt,2,EMP3+TNFRSF1A,mean_negative,0.3333333333333333
Schmidt,2,ARHGDIB+TNFRSF1A,control_negative,0.07407407407407407
Schmidt,2,CBY1+EMP3,control_negative,0.6666666666666666
Schmidt,2,EMP3+LCP2,control_negative,0.2962962962962963
Schmidt,2,EMP3+MAP4K1,control_negative,0.2222222222222222
Schmidt,2,EMP3+PRKD2,control_negative,0.6296296296296297
Schmidt,2,EMP3+TBX21,control_negative,0.1111111111111111
Schmidt,2,EMP3+TNFRSF1B,control_negative,0.5555555555555556
Schmidt,2,EMP3+TRAF3IP2,control_negative,0.5185185185185185
Schmidt,2,EMP3+VAV1,control_negative,0.037037037037037035
Schmidt,2,FOXQ1+TNFRSF1A,control_negative,0.0
Schmidt,2,JMJD1C+TNFRSF1B,control_negative,0.14814814814814814
Schmidt,2,JMJD1C+TRAF3IP2,control_negative,0.3333333333333333
Schmidt,2,PRKD2+TNFRSF1A,control_negative,0.5925925925925926
Schmidt,2,TNFRSF1A+TRAF3IP2,control_negative,0.48148148148148145
Schmidt,2,PRKD2+TRIM21,control_negative,0.4074074074074074
Schmidt,2,TNFRSF12A+TRAF3IP2,control_negative,0.18518518518518517
Schmidt,2,TRAF3IP2+VAV1,control_negative,0.37037037037037035
Schmidt,2,DEPDC7,control_negative,0.9629629629629629
Schmidt,2,EMP3,control_negative,1.0
Schmidt,2,FOSL1,control_negative,0.7777777777777778
Schmidt,2,IKZF3,control_negative,0.8888888888888888
Schmidt,2,JMJD1C,control_negative,0.8518518518518519
Schmidt,2,LTBR,control_negative,0.7037037037037037
Schmidt,2,RELA,control_negative,0.9259259259259259
Schmidt,2,TNFRSF1A,control_negative,0.7407407407407407
Schmidt,2,WT1,control_negative,0.8148148148148148
Schmidt,2,EMP3+JMJD1C,control_negative,0.4444444444444444
Schmidt,2,EMP3+TNFRSF1A,control_negative,0.25925925925925924
Schmidt,2,ARHGDIB+TNFRSF1A,technical_duplicate,0.5555555555555556
Schmidt,2,CBY1+EMP3,technical_duplicate,0.48148148148148145
Schmidt,2,EMP3+LCP2,technical_duplicate,0.6666666666666666
Schmidt,2,EMP3+MAP4K1,technical_duplicate,0.1111111111111111
Schmidt,2,EMP3+PRKD2,technical_duplicate,0.5555555555555556
Schmidt,2,EMP3+TBX21,technical_duplicate,0.6296296296296297
Schmidt,2,EMP3+TNFRSF1B,technical_duplicate,0.9259259259259259
Schmidt,2,EMP3+TRAF3IP2,technical_duplicate,0.7407407407407407
Schmidt,2,EMP3+VAV1,technical_duplicate,0.2962962962962963
Schmidt,2,FOXQ1+TNFRSF1A,technical_duplicate,0.8148148148148148
Schmidt,2,JMJD1C+TNFRSF1B,technical_duplicate,0.5925925925925926
Schmidt,2,JMJD1C+TRAF3IP2,technical_duplicate,0.3333333333333333
Schmidt,2,PRKD2+TNFRSF1A,technical_duplicate,0.7407407407407407
Schmidt,2,TNFRSF1A+TRAF3IP2,technical_duplicate,0.4444444444444444
Schmidt,2,PRKD2+TRIM21,technical_duplicate,0.37037037037037035
Schmidt,2,TNFRSF12A+TRAF3IP2,technical_duplicate,0.25925925925925924
Schmidt,2,TRAF3IP2+VAV1,technical_duplicate,0.6296296296296297
Schmidt,2,DEPDC7,technical_duplicate,1.0
Schmidt,2,EMP3,technical_duplicate,1.0
Schmidt,2,FOSL1,technical_duplicate,1.0
Schmidt,2,IKZF3,technical_duplicate,1.0
Schmidt,2,JMJD1C,technical_duplicate,1.0
Schmidt,2,LTBR,technical_duplicate,1.0
Schmidt,2,RELA,technical_duplicate,1.0
Schmidt,2,TNFRSF1A,technical_duplicate,1.0
Schmidt,2,WT1,technical_duplicate,1.0
Schmidt,2,EMP3+JMJD1C,technical_duplicate,0.4074074074074074
Schmidt,2,EMP3+TNFRSF1A,technical_duplicate,0.7037037037037037
Schmidt,2,ARHGDIB+TNFRSF1A,interpolated_duplicate,0.07407407407407407
Schmidt,2,CBY1+EMP3,interpolated_duplicate,0.6666666666666666
Schmidt,2,EMP3+LCP2,interpolated_duplicate,0.2962962962962963
Schmidt,2,EMP3+MAP4K1,interpolated_duplicate,0.14814814814814814
Schmidt,2,EMP3+PRKD2,interpolated_duplicate,0.5555555555555556
Schmidt,2,EMP3+TBX21,interpolated_duplicate,0.2222222222222222
Schmidt,2,EMP3+TNFRSF1B,interpolated_duplicate,0.6666666666666666
Schmidt,2,EMP3+TRAF3IP2,interpolated_duplicate,0.5185185185185185
Schmidt,2,EMP3+VAV1,interpolated_duplicate,0.0
Schmidt,2,FOXQ1+TNFRSF1A,interpolated_duplicate,0.037037037037037035
Schmidt,2,JMJD1C+TNFRSF1B,interpolated_duplicate,0.2222222222222222
Schmidt,2,JMJD1C+TRAF3IP2,interpolated_duplicate,0.25925925925925924
Schmidt,2,PRKD2+TNFRSF1A,interpolated_duplicate,0.5925925925925926
Schmidt,2,TNFRSF1A+TRAF3IP2,interpolated_duplicate,0.5185185185185185
Schmidt,2,PRKD2+TRIM21,interpolated_duplicate,0.4074074074074074
Schmidt,2,TNFRSF12A+TRAF3IP2,interpolated_duplicate,0.18518518518518517
Schmidt,2,TRAF3IP2+VAV1,interpolated_duplicate,0.4444444444444444
Schmidt,2,DEPDC7,interpolated_duplicate,1.0
Schmidt,2,EMP3,interpolated_duplicate,1.0
Schmidt,2,FOSL1,interpolated_duplicate,1.0
Schmidt,2,IKZF3,interpolated_duplicate,1.0
Schmidt,2,JMJD1C,interpolated_duplicate,1.0
Schmidt,2,LTBR,interpolated_duplicate,1.0
Schmidt,2,RELA,interpolated_duplicate,1.0
Schmidt,2,TNFRSF1A,interpolated_duplicate,1.0
Schmidt,2,WT1,interpolated_duplicate,1.0
Schmidt,2,EMP3+JMJD1C,interpolated_duplicate,0.37037037037037035
Schmidt,2,EMP3+TNFRSF1A,interpolated_duplicate,0.3333333333333333
Schmidt,3,CBY1+EMP3,mean_negative,0.6296296296296297
Schmidt,3,CBY1+LCP2,mean_negative,0.37037037037037035
Schmidt,3,EMP3+JMJD1C,mean_negative,0.2222222222222222
Schmidt,3,EMP3+MAP4K1,mean_negative,0.037037037037037035
Schmidt,3,EMP3+PRKD2,mean_negative,0.48148148148148145
Schmidt,3,EMP3+TBX21,mean_negative,0.07407407407407407
Schmidt,3,EMP3+TNFRSF1A,mean_negative,0.25925925925925924
Schmidt,3,EMP3+TRAF3IP2,mean_negative,0.4074074074074074
Schmidt,3,EMP3+VAV1,mean_negative,0.0
Schmidt,3,JMJD1C+TNFRSF1B,mean_negative,0.14814814814814814
Schmidt,3,MGST3+TRIM21,mean_negative,0.3333333333333333
Schmidt,3,PRKD2+TNFRSF1B,mean_negative,0.2962962962962963
